activity_id,user_id,department,user_role,system_name,privileged_access,successful_logins,failed_logins,after_hours_events,sensitive_records_accessed,distinct_locations,primary_country,activity_timestamp,synthetic_anomaly_label
A000021,U0348,Sales,Support Agent,CUSTOMER-PORTAL,0,17,1,0,322,1,Sri Lanka,2026-07-19T20:37,0
A000022,U0686,Human Resources,Developer,ERP-PROD,0,1,0,1,81,1,India,2026-07-26T17:24,0
A000023,U0729,Legal,Standard User,FILE-SHARE,0,13,2,0,141,1,Sri Lanka,2026-07-02T19:56,0
A000024,U0112,Sales,Standard User,FILE-SHARE,0,5,2,0,140,1,United States,2026-07-31T15:30,0
A000025,U0619,Customer Support,Standard User,FILE-SHARE,0,9,2,0,31,1,India,2026-08-01T18:56,0
A000026,U0627,Customer Support,HR Specialist,DEVOPS,0,8,0,0,235,2,Sri Lanka,2026-06-12T03:58,0
A000027,U0456,Operations,Support Agent,EMAIL,0,14,1,0,49,2,Sri Lanka,2026-08-17T12:10,0
A000028,U0189,Sales,Contractor,DATA-WAREHOUSE,0,26,1,1,40,1,United Kingdom,2026-08-30T14:32,0
A000029,U0020,Human Resources,Support Agent,FILE-SHARE,0,6,30,0,128,1,Sri Lanka,2026-08-09T03:25,1
A000030,U0405,Procurement,Standard User,FILE-SHARE,0,14,3,0,18,1,Sri Lanka,2026-06-25T15:30,0
A000031,U0784,Sales,Support Agent,EMAIL,0,7,0,3,34,1,United States,2026-08-07T22:12,0
A000032,U0214,Customer Support,Developer,DATA-WAREHOUSE,1,9,2,0,120,1,Sri Lanka,2026-08-04T15:29,0
A000033,U0179,Information Technology,Contractor,HRIS,0,14,2,0,77,3,Sri Lanka,2026-06-16T11:39,0
A000034,U0574,Legal,Support Agent,ERP-PROD,0,16,1,0,408,1,Sri Lanka,2026-06-22T20:11,0
A000035,U0448,Procurement,Support Agent,FILE-SHARE,0,18,0,1,143,2,Sri Lanka,2026-06-09T21:38,0
A000036,U0506,Sales,Contractor,DEVOPS,0,16,4,0,315,2,India,2026-08-14T18:46,0
A000037,U0036,Sales,Support Agent,FILE-SHARE,1,159,3,0,39,1,India,2026-06-26T22:46,1
A000038,U0841,Customer Support,Contractor,DATA-WAREHOUSE,0,15,3,0,375,2,Sri Lanka,2026-07-12T13:44,0
A000039,U0511,Sales,System Administrator,DEVOPS,1,15,1,0,106,1,India,2026-07-19T08:38,0
A000040,U0365,Operations,Standard User,DATA-WAREHOUSE,0,7,1,1,109,1,Singapore,2026-08-26T14:16,0
A000041,U0705,Procurement,Developer,CRM-CLOUD,0,11,1,2,113,1,Singapore,2026-08-27T06:12,0
A000042,U0833,Sales,Contractor,ERP-PROD,0,14,2,0,16,1,Sri Lanka,2026-08-03T16:23,0
A000043,U0382,Operations,Standard User,PAYMENTS,0,6,0,0,127,1,Sri Lanka,2026-07-14T03:39,0
A000044,U0824,Finance,Standard User,ERP-PROD,0,18,0,1,65,2,Sri Lanka,2026-08-27T20:20,0
A000045,U0123,Operations,Contractor,CRM-CLOUD,0,19,1,1,149,1,United Kingdom,2026-07-09T14:55,0
A000046,U0885,Finance,Contractor,EMAIL,0,5,2,0,52,1,Sri Lanka,2026-06-03T05:58,0
A000047,U0438,Information Technology,HR Specialist,HRIS,0,10,1,1,20,2,Sri Lanka,2026-08-09T17:14,0
A000048,U0409,Information Technology,Finance Analyst,FILE-SHARE,0,9,2,0,100,1,Sri Lanka,2026-07-13T13:14,0
A000049,U0297,Operations,Support Agent,HRIS,0,13,1,0,133,1,Sri Lanka,2026-08-19T20:23,0
A000050,U0041,Information Technology,Standard User,DEVOPS,0,10,1,0,81,1,Sri Lanka,2026-07-17T02:10,0
A000051,U0360,Legal,Support Agent,FILE-SHARE,0,12,6,0,193,1,Sri Lanka,2026-06-03T20:13,0
A000052,U0445,Procurement,Standard User,EMAIL,0,6,3,2,51,2,Sri Lanka,2026-06-24T17:35,0
A000053,U0342,Information Technology,Database Administrator,DEVOPS,1,15,6,0,34,3,India,2026-06-09T14:32,0
A000054,U0320,Customer Support,Standard User,CRM-CLOUD,0,20,2,3,9972,1,Sri Lanka,2026-09-01T00:34,1
A000055,U0892,Information Technology,HR Specialist,ERP-PROD,0,18,1,1,261,1,Sri Lanka,2026-06-14T19:58,0
A000056,U0366,Finance,Database Administrator,PAYMENTS,1,11,0,0,31,2,Sri Lanka,2026-07-20T21:33,0
A000057,U0169,Sales,HR Specialist,EMAIL,0,14,0,0,28,1,Sri Lanka,2026-07-04T09:33,0
A000058,U0565,Information Technology,Developer,EMAIL,0,16,0,0,101,2,Sri Lanka,2026-06-19T14:14,0
A000059,U0101,Legal,Support Agent,HRIS,0,12,0,0,166,1,Sri Lanka,2026-06-19T10:27,0
A000060,U0766,Customer Support,Developer,CRM-CLOUD,0,4,0,1,107,1,Sri Lanka,2026-08-23T15:30,0
A000061,U0288,Procurement,Contractor,CRM-CLOUD,0,8,1,0,21,1,Sri Lanka,2026-06-21T18:10,0
A000062,U0224,Legal,Database Administrator,EMAIL,1,12,0,0,256,1,Sri Lanka,2026-07-03T10:45,0
A000063,U0803,Legal,Standard User,CUSTOMER-PORTAL,0,19,3,1,170,1,United States,2026-08-25T00:34,0
A000064,U0098,Sales,Support Agent,EMAIL,0,15,4,0,426,2,Sri Lanka,2026-07-05T05:04,0
A000065,U0717,Finance,Support Agent,CUSTOMER-PORTAL,0,9,2,0,592,1,India,2026-07-17T21:20,0
A000066,U0245,Sales,HR Specialist,CUSTOMER-PORTAL,0,14,3,0,31,1,Sri Lanka,2026-06-23T09:23,0
A000067,U0499,Procurement,Standard User,CUSTOMER-PORTAL,0,19,1,0,25,1,Sri Lanka,2026-07-30T05:04,0
A000068,U0269,Human Resources,Contractor,FILE-SHARE,0,18,0,0,207,1,Sri Lanka,2026-08-25T00:10,0
A000069,U0460,Information Technology,System Administrator,PAYMENTS,1,5,0,0,27,1,Sri Lanka,2026-06-23T20:25,0
A000070,U0088,Procurement,Developer,FILE-SHARE,0,9,1,0,806,1,Sri Lanka,2026-08-09T23:45,0
A000071,U0050,Finance,Standard User,HRIS,0,11,0,1,128,1,Singapore,2026-06-26T11:38,0
A000072,U0318,Sales,Developer,CRM-CLOUD,0,19,2,0,79,1,Sri Lanka,2026-08-20T19:54,0
A000073,U0320,Information Technology,Database Administrator,ERP-PROD,1,17,0,0,104,1,Sri Lanka,2026-09-01T15:19,0
A000074,U0610,Sales,Standard User,CUSTOMER-PORTAL,0,15,0,2,1083,1,Sri Lanka,2026-08-11T09:33,0
A000075,U0584,Finance,Finance Analyst,DATA-WAREHOUSE,0,14,1,1,159,1,India,2026-07-19T08:22,0
A000076,U0259,Finance,Contractor,HRIS,0,9,2,0,145,1,Sri Lanka,2026-06-30T12:58,0
A000077,U0030,Information Technology,System Administrator,ERP-PROD,1,27,1,0,151,1,United Kingdom,2026-08-25T04:42,0
A000078,U0479,Finance,HR Specialist,HRIS,0,2,0,0,24,2,Sri Lanka,2026-06-15T08:14,0
A000079,U0699,Human Resources,HR Specialist,DEVOPS,0,15,0,0,36,1,Sri Lanka,2026-07-06T20:36,0
A000080,U0568,Information Technology,Standard User,CRM-CLOUD,0,1,0,0,32,1,Singapore,2026-06-26T22:50,0
A000081,U0701,Finance,Standard User,FILE-SHARE,0,10,0,0,83,1,Sri Lanka,2026-06-10T13:09,0
A000082,U0560,Information Technology,HR Specialist,PAYMENTS,0,19,4,2,48,2,Sri Lanka,2026-06-10T23:33,0
A000083,U0145,Procurement,Standard User,DATA-WAREHOUSE,0,14,1,1,209,1,Sri Lanka,2026-07-11T23:30,0
A000084,U0260,Legal,Support Agent,DEVOPS,0,13,1,0,361,2,Sri Lanka,2026-07-09T04:08,0
A000085,U0533,Operations,Support Agent,FILE-SHARE,0,21,1,0,85,1,India,2026-07-06T04:10,0
A000086,U0017,Sales,Standard User,DATA-WAREHOUSE,0,4,2,0,215,1,Sri Lanka,2026-07-02T01:12,0
A000087,U0696,Sales,Standard User,EMAIL,0,14,0,0,39,1,Sri Lanka,2026-07-10T14:57,0
A000088,U0569,Information Technology,Contractor,HRIS,0,4,0,0,225,1,Sri Lanka,2026-08-31T03:45,0
A000089,U0765,Human Resources,Standard User,ERP-PROD,0,1,1,0,73,1,Sri Lanka,2026-08-05T00:50,0
A000090,U0852,Information Technology,HR Specialist,CUSTOMER-PORTAL,0,1,4,1,13147,1,Sri Lanka,2026-06-07T17:21,1
A000091,U0549,Sales,Contractor,DATA-WAREHOUSE,0,7,3,2,94,1,India,2026-07-04T16:04,0
A000092,U0599,Sales,HR Specialist,EMAIL,0,13,2,0,92,1,Sri Lanka,2026-06-03T13:48,0
A000093,U0459,Information Technology,Contractor,CUSTOMER-PORTAL,0,10,0,0,51,1,Sri Lanka,2026-07-10T19:42,0
A000094,U0517,Human Resources,Standard User,CUSTOMER-PORTAL,0,11,2,0,124,1,Sri Lanka,2026-08-13T17:49,0
A000095,U0690,Operations,Standard User,EMAIL,0,8,3,1,38,1,Sri Lanka,2026-06-20T02:49,0
A000096,U0628,Operations,Standard User,CUSTOMER-PORTAL,0,18,4,0,67,1,Sri Lanka,2026-07-18T18:53,0
A000097,U0650,Human Resources,Developer,HRIS,0,9,0,1,166,1,Sri Lanka,2026-08-25T11:54,0
A000098,U0345,Operations,Database Administrator,EMAIL,1,8,0,0,61,2,Sri Lanka,2026-07-12T17:12,0
A000099,U0723,Human Resources,Developer,FILE-SHARE,0,7,3,1,887,1,Sri Lanka,2026-07-14T01:20,0
A000100,U0699,Information Technology,Support Agent,ERP-PROD,0,14,0,2,87,1,India,2026-08-11T21:06,0
A000101,U0263,Legal,Support Agent,CUSTOMER-PORTAL,0,12,0,0,108,1,Sri Lanka,2026-07-12T15:09,0
A000102,U0112,Information Technology,Standard User,CUSTOMER-PORTAL,0,23,2,0,25,2,Sri Lanka,2026-07-31T02:28,0
A000103,U0156,Customer Support,Support Agent,HRIS,0,26,0,0,248,1,India,2026-06-26T10:44,0
A000104,U0842,Human Resources,Standard User,ERP-PROD,0,27,2,0,212,2,India,2026-07-11T22:55,0
A000105,U0683,Information Technology,Developer,PAYMENTS,1,14,3,0,192,1,Sri Lanka,2026-07-09T01:35,0
A000106,U0474,Information Technology,Standard User,FILE-SHARE,0,1,1,1,81,1,Sri Lanka,2026-06-22T20:36,0
A000107,U0890,Information Technology,Support Agent,PAYMENTS,0,18,0,0,223,2,Sri Lanka,2026-07-11T03:54,0
A000108,U0193,Finance,Standard User,EMAIL,0,18,1,1,109,2,Sri Lanka,2026-08-02T14:08,0
A000109,U0239,Information Technology,HR Specialist,DEVOPS,0,20,1,0,12,1,Sri Lanka,2026-08-06T02:14,0
A000110,U0030,Operations,Standard User,DEVOPS,0,8,1,0,495,1,Sri Lanka,2026-06-24T11:46,0
A000111,U0514,Finance,Contractor,DEVOPS,0,7,0,0,311,1,India,2026-06-27T02:26,0
A000112,U0694,Human Resources,Support Agent,ERP-PROD,0,11,3,0,14,1,Sri Lanka,2026-06-24T01:00,0
A000113,U0343,Finance,Standard User,FILE-SHARE,0,12,1,0,546,1,Sri Lanka,2026-08-18T16:09,0
A000114,U0822,Operations,Finance Analyst,DATA-WAREHOUSE,0,17,1,1,40,1,Sri Lanka,2026-08-31T22:35,0
A000115,U0746,Legal,Standard User,EMAIL,0,13,0,0,155,4,Sri Lanka,2026-08-23T11:07,1
A000116,U0325,Operations,Support Agent,EMAIL,0,19,1,0,75,1,Sri Lanka,2026-06-21T22:49,0
A000117,U0036,Information Technology,Finance Analyst,EMAIL,0,1,1,0,78,1,United States,2026-08-17T02:51,0
A000118,U0362,Operations,Finance Analyst,PAYMENTS,0,17,3,3,43,1,India,2026-08-24T20:58,0
A000119,U0852,Information Technology,Standard User,EMAIL,0,18,6,1,180,1,Sri Lanka,2026-07-23T06:12,0
A000120,U0049,Finance,Support Agent,CRM-CLOUD,0,6,2,1,62,1,Sri Lanka,2026-08-07T16:23,0
A000121,U0188,Information Technology,System Administrator,EMAIL,1,13,2,0,36,1,United Kingdom,2026-08-20T07:43,0
A000122,U0272,Sales,Standard User,DATA-WAREHOUSE,0,14,0,34,29,1,Sri Lanka,2026-06-06T03:32,1
A000123,U0871,Procurement,System Administrator,HRIS,1,7,0,0,134,1,Sri Lanka,2026-07-27T10:22,0
A000124,U0696,Procurement,Standard User,DATA-WAREHOUSE,0,4,1,0,139,1,Sri Lanka,2026-07-19T04:14,0
A000125,U0076,Legal,Developer,DATA-WAREHOUSE,0,12,1,1,45,2,Sri Lanka,2026-06-19T04:30,0
A000126,U0026,Customer Support,Support Agent,DEVOPS,0,6,2,1,292,1,Sri Lanka,2026-08-23T07:55,0
A000127,U0148,Operations,HR Specialist,CUSTOMER-PORTAL,0,16,3,1,127,1,India,2026-08-27T23:09,0
A000128,U0661,Finance,Standard User,CUSTOMER-PORTAL,0,7,1,2,230,7,Sri Lanka,2026-06-09T03:30,1
A000129,U0234,Information Technology,Developer,EMAIL,0,20,2,0,27,1,Singapore,2026-07-10T05:09,0
A000130,U0436,Sales,HR Specialist,HRIS,0,10,1,1,72,1,Sri Lanka,2026-08-22T01:36,0
A000131,U0857,Procurement,Support Agent,DEVOPS,0,5,0,0,163,1,Sri Lanka,2026-08-30T23:36,0
A000132,U0707,Finance,Standard User,CUSTOMER-PORTAL,0,8,1,0,710,1,Sri Lanka,2026-08-08T01:56,0
A000133,U0025,Customer Support,Standard User,DATA-WAREHOUSE,0,13,1,1,58,1,Sri Lanka,2026-06-10T18:25,0
A000134,U0275,Legal,Standard User,PAYMENTS,0,4,7,0,329,1,Sri Lanka,2026-07-05T17:45,0
A000135,U0833,Legal,Standard User,PAYMENTS,0,5,1,0,68,1,Sri Lanka,2026-07-03T14:36,0
A000136,U0300,Operations,Standard User,EMAIL,0,20,2,0,54,1,Sri Lanka,2026-08-07T22:01,0
A000137,U0667,Customer Support,Developer,CRM-CLOUD,0,11,1,1,945,1,United Kingdom,2026-07-06T14:22,0
A000138,U0271,Procurement,Support Agent,CRM-CLOUD,0,14,1,1,152,1,Singapore,2026-07-25T19:39,0
A000139,U0769,Customer Support,Standard User,HRIS,0,2,0,1,4,1,Sri Lanka,2026-08-28T20:56,0
A000140,U0749,Finance,Developer,DEVOPS,0,12,2,0,75,3,United States,2026-07-03T00:20,0
A000141,U0763,Procurement,Standard User,DATA-WAREHOUSE,0,3,0,1,76,1,Singapore,2026-07-24T23:26,0
A000142,U0401,Customer Support,Standard User,CUSTOMER-PORTAL,0,24,1,1,194,1,India,2026-06-14T16:37,0
A000143,U0809,Customer Support,Standard User,EMAIL,0,16,1,3,72,1,Sri Lanka,2026-08-17T14:29,0
A000144,U0452,Legal,Standard User,ERP-PROD,0,25,3,2,26,1,Sri Lanka,2026-06-04T20:01,0
A000145,U0247,Customer Support,Standard User,HRIS,0,10,3,0,48,1,Sri Lanka,2026-08-07T01:49,0
A000146,U0802,Sales,Standard User,DEVOPS,0,10,0,0,75,1,India,2026-07-15T23:47,0
A000147,U0565,Human Resources,System Administrator,ERP-PROD,1,18,1,0,21,1,Sri Lanka,2026-08-10T18:50,0
A000148,U0426,Sales,Developer,CRM-CLOUD,0,1,2,0,80,1,Sri Lanka,2026-07-24T03:49,0
A000149,U0273,Human Resources,Finance Analyst,DATA-WAREHOUSE,0,8,0,1,322,1,Sri Lanka,2026-06-11T03:15,0
A000150,U0147,Human Resources,Support Agent,ERP-PROD,0,10,1,0,119,1,Sri Lanka,2026-08-11T08:32,0
A000151,U0746,Customer Support,Finance Analyst,HRIS,0,22,1,1,450,1,United Kingdom,2026-06-26T19:18,0
A000152,U0367,Procurement,Developer,EMAIL,0,1,0,0,37,1,India,2026-07-22T06:19,0
A000153,U0320,Operations,Standard User,DATA-WAREHOUSE,0,16,2,0,19,1,Sri Lanka,2026-07-06T04:18,0
A000154,U0676,Finance,Finance Analyst,FILE-SHARE,0,21,0,0,137,1,Sri Lanka,2026-06-16T02:30,0
A000155,U0268,Legal,HR Specialist,DEVOPS,0,16,1,0,55,1,Sri Lanka,2026-07-29T20:27,0
A000156,U0109,Procurement,Developer,EMAIL,0,24,1,0,180,2,Sri Lanka,2026-07-26T17:32,0
A000157,U0387,Human Resources,Finance Analyst,ERP-PROD,0,13,3,1,49,2,India,2026-08-03T07:19,0
A000158,U0890,Human Resources,Contractor,CUSTOMER-PORTAL,0,12,0,1,230,1,India,2026-06-16T14:34,0
A000159,U0705,Finance,HR Specialist,CRM-CLOUD,0,10,2,0,465,3,Sri Lanka,2026-06-15T10:17,0
A000160,U0638,Sales,Standard User,FILE-SHARE,0,13,0,0,24,1,India,2026-06-06T02:50,0
A000161,U0030,Procurement,Finance Analyst,FILE-SHARE,0,17,4,0,531,1,Sri Lanka,2026-06-13T23:44,0
A000162,U0601,Finance,Support Agent,DATA-WAREHOUSE,0,1,0,0,59,2,Sri Lanka,2026-06-15T18:50,0
A000163,U0062,Procurement,Finance Analyst,CUSTOMER-PORTAL,0,32,2,1,23,1,Sri Lanka,2026-07-09T23:50,0
A000164,U0595,Operations,Standard User,DATA-WAREHOUSE,0,1,1,0,82,1,Sri Lanka,2026-07-04T11:42,0
A000165,U0838,Sales,Support Agent,DEVOPS,0,11,2,0,197,2,Sri Lanka,2026-08-02T08:54,0
A000166,U0188,Sales,Developer,EMAIL,0,4,0,0,109,1,Sri Lanka,2026-07-30T05:05,0
A000167,U0646,Operations,Support Agent,DATA-WAREHOUSE,0,16,1,0,69,1,India,2026-06-20T09:00,0
A000168,U0835,Customer Support,Support Agent,PAYMENTS,0,26,1,0,106,1,Sri Lanka,2026-08-03T20:21,0
A000169,U0579,Customer Support,Developer,CUSTOMER-PORTAL,0,11,1,1,138,1,Sri Lanka,2026-08-31T05:35,0
A000170,U0064,Information Technology,Database Administrator,FILE-SHARE,1,143,2,0,38,1,Sri Lanka,2026-07-29T17:47,1
A000171,U0649,Operations,Contractor,CUSTOMER-PORTAL,0,20,1,0,94,1,Sri Lanka,2026-08-10T20:48,0
A000172,U0219,Operations,Database Administrator,ERP-PROD,1,10,1,0,173,2,Sri Lanka,2026-08-23T21:38,0
A000173,U0642,Procurement,Standard User,DEVOPS,0,1,0,0,28,1,Sri Lanka,2026-06-26T06:43,0
A000174,U0210,Information Technology,Standard User,EMAIL,0,9,0,0,86,2,Sri Lanka,2026-08-12T23:25,0
A000175,U0807,Finance,System Administrator,DATA-WAREHOUSE,1,22,3,2,48,1,Sri Lanka,2026-08-06T04:38,0
A000176,U0441,Operations,Support Agent,PAYMENTS,0,24,2,0,127,1,Sri Lanka,2026-08-27T22:02,0
A000177,U0724,Sales,Standard User,FILE-SHARE,0,6,8,0,79,1,Sri Lanka,2026-08-08T01:47,0
A000178,U0607,Sales,Standard User,PAYMENTS,0,11,0,0,84,1,Sri Lanka,2026-06-28T21:17,0
A000179,U0057,Finance,Standard User,DEVOPS,0,18,5,0,221,1,Germany,2026-07-02T06:54,0
A000180,U0680,Finance,Finance Analyst,CUSTOMER-PORTAL,0,2,1,0,300,1,Sri Lanka,2026-07-26T12:52,0
A000181,U0873,Sales,Contractor,PAYMENTS,0,4,1,2,108,2,United Kingdom,2026-07-26T05:23,0
A000182,U0620,Legal,Standard User,CRM-CLOUD,0,14,0,0,296,1,Germany,2026-08-16T10:09,0
A000183,U0537,Information Technology,Finance Analyst,FILE-SHARE,0,12,1,0,74,1,Sri Lanka,2026-06-29T00:45,0
A000184,U0449,Information Technology,Support Agent,DATA-WAREHOUSE,0,5,0,1,123,1,Sri Lanka,2026-08-02T16:34,0
A000185,U0142,Operations,Support Agent,DEVOPS,0,2,1,0,71,1,Sri Lanka,2026-06-13T04:23,0
A000186,U0767,Operations,Developer,DATA-WAREHOUSE,0,5,3,0,22,1,Sri Lanka,2026-07-27T06:55,0
A000187,U0147,Customer Support,Standard User,EMAIL,0,22,3,0,154,2,Sri Lanka,2026-08-15T08:38,0
A000188,U0339,Operations,System Administrator,DATA-WAREHOUSE,1,1,1,2,81,1,India,2026-07-10T15:56,0
A000189,U0731,Sales,Standard User,DEVOPS,0,9,4,0,155,1,Germany,2026-06-05T03:40,0
A000190,U0155,Procurement,Standard User,ERP-PROD,0,22,2,1,84,1,Sri Lanka,2026-07-12T17:46,0
A000191,U0851,Human Resources,HR Specialist,DATA-WAREHOUSE,0,1,3,0,84,1,Sri Lanka,2026-08-08T09:20,0
A000192,U0587,Customer Support,HR Specialist,HRIS,0,1,1,1,38,1,Sri Lanka,2026-06-30T07:40,0
A000193,U0029,Human Resources,Standard User,DATA-WAREHOUSE,0,10,1,1,145,3,Sri Lanka,2026-06-09T03:20,0
A000194,U0317,Procurement,Standard User,CRM-CLOUD,0,7,3,0,64,2,United Kingdom,2026-07-19T05:17,0
A000195,U0219,Legal,HR Specialist,CRM-CLOUD,0,20,1,1,64,1,Sri Lanka,2026-08-19T06:30,0
A000196,U0453,Operations,HR Specialist,CRM-CLOUD,0,11,2,1,194,1,India,2026-06-12T18:44,0
A000197,U0129,Legal,HR Specialist,CRM-CLOUD,0,13,8,1,560,1,United States,2026-07-15T19:13,0
A000198,U0242,Sales,HR Specialist,PAYMENTS,0,7,1,1,211,1,Germany,2026-06-30T04:14,0
A000199,U0108,Information Technology,Standard User,PAYMENTS,0,20,1,1,39,2,United States,2026-08-18T15:02,0
A000200,U0838,Procurement,HR Specialist,CRM-CLOUD,0,28,0,0,65,1,Sri Lanka,2026-07-25T21:41,0
A000201,U0349,Customer Support,Finance Analyst,DEVOPS,0,22,2,0,18,1,Sri Lanka,2026-06-09T17:04,0
A000202,U0860,Legal,System Administrator,PAYMENTS,1,22,1,0,140,1,Sri Lanka,2026-08-20T16:05,0
A000203,U0500,Legal,Finance Analyst,DEVOPS,0,8,3,1,116,2,Sri Lanka,2026-06-24T01:03,0
A000204,U0419,Procurement,Contractor,ERP-PROD,0,1,0,0,73,1,Sri Lanka,2026-08-11T05:42,0
A000205,U0723,Operations,Developer,PAYMENTS,0,1,11,1,810,1,Sri Lanka,2026-06-10T10:47,0
A000206,U0464,Legal,Standard User,CUSTOMER-PORTAL,0,19,1,0,207,1,Sri Lanka,2026-08-10T13:03,0
A000207,U0105,Sales,HR Specialist,DATA-WAREHOUSE,0,21,1,0,70,1,India,2026-07-21T13:11,0
A000208,U0579,Operations,Standard User,DATA-WAREHOUSE,0,8,1,1,77,2,Sri Lanka,2026-08-26T10:04,0
A000209,U0828,Procurement,Support Agent,DATA-WAREHOUSE,0,10,3,1,180,1,Sri Lanka,2026-07-24T21:14,0
A000210,U0284,Human Resources,Standard User,CUSTOMER-PORTAL,0,13,1,1,145,1,Sri Lanka,2026-07-19T00:19,0
A000211,U0816,Human Resources,Developer,CUSTOMER-PORTAL,0,9,5,3,108,2,Sri Lanka,2026-06-16T18:20,0
A000212,U0411,Information Technology,Developer,FILE-SHARE,1,10,2,1,25,1,Sri Lanka,2026-07-25T18:36,0
A000213,U0388,Finance,Standard User,ERP-PROD,0,15,2,1,132,1,Sri Lanka,2026-07-15T04:31,0
A000214,U0290,Operations,Standard User,DATA-WAREHOUSE,0,3,4,0,59,1,Sri Lanka,2026-07-24T16:19,0
A000215,U0194,Human Resources,Standard User,EMAIL,0,11,3,1,11,1,Sri Lanka,2026-06-28T05:55,0
A000216,U0682,Operations,Standard User,CUSTOMER-PORTAL,0,21,0,2,488,1,Sri Lanka,2026-08-03T23:42,0
A000217,U0713,Customer Support,Support Agent,FILE-SHARE,0,23,1,0,142,1,Singapore,2026-06-25T05:58,0
A000218,U0416,Sales,Finance Analyst,CUSTOMER-PORTAL,0,10,1,1,104,1,Sri Lanka,2026-07-12T01:41,0
A000219,U0535,Information Technology,Standard User,DATA-WAREHOUSE,0,9,1,2,160,1,Sri Lanka,2026-08-20T02:19,0
A000220,U0400,Operations,Standard User,EMAIL,0,3,1,33,132,1,Sri Lanka,2026-06-26T04:09,1
A000221,U0608,Legal,Support Agent,ERP-PROD,0,6,1,0,66,1,Sri Lanka,2026-08-25T16:25,0
A000222,U0076,Information Technology,Contractor,CRM-CLOUD,0,13,1,1,23,1,India,2026-08-08T07:19,0
A000223,U0135,Finance,Standard User,DATA-WAREHOUSE,0,26,2,2,341,1,Sri Lanka,2026-07-29T15:06,0
A000224,U0166,Operations,HR Specialist,DATA-WAREHOUSE,0,22,3,0,198,1,Sri Lanka,2026-07-12T02:26,0
A000225,U0090,Legal,Contractor,ERP-PROD,0,22,0,0,36,1,Sri Lanka,2026-08-16T10:42,0
A000226,U0097,Legal,Standard User,PAYMENTS,0,11,1,1,155,1,Sri Lanka,2026-07-30T22:23,0
A000227,U0434,Finance,Support Agent,EMAIL,0,9,2,0,135,1,Sri Lanka,2026-07-17T10:20,0
A000228,U0174,Sales,Standard User,CUSTOMER-PORTAL,0,15,0,2,107,1,Sri Lanka,2026-07-10T20:49,0
A000229,U0737,Operations,Database Administrator,PAYMENTS,1,12,1,0,82,2,Sri Lanka,2026-06-18T08:15,0
A000230,U0251,Customer Support,Developer,HRIS,0,11,1,0,90,1,Sri Lanka,2026-08-22T12:38,0
A000231,U0129,Finance,Standard User,CUSTOMER-PORTAL,0,1,4,0,293,1,Sri Lanka,2026-07-20T19:52,0
A000232,U0729,Operations,Support Agent,EMAIL,0,10,0,0,98,1,Sri Lanka,2026-06-28T08:43,0
