control_id,control_name,control_domain,control_type,control_owner,test_frequency,automated_control,design_effectiveness,operating_effectiveness,sample_size,failed_samples,last_test_date,next_test_date,linked_risk_id,deficiency_severity,test_status
C0013,Vulnerability Management Control 0013,Vulnerability Management,Preventive,T. Karunaratne,Quarterly,0,Ineffective,Effective,10,0,2025-08-30,2025-11-28,R00097,None,Overdue
C0014,Data Protection Control 0014,Data Protection,Preventive,K. Fernando,Quarterly,1,Effective,Effective,25,0,2026-07-24,2026-10-22,R02462,None,Scheduled
C0015,Third-Party Risk Control 0015,Third-Party Risk,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,20,0,2025-05-04,2025-08-02,R00496,None,Overdue
C0016,Third-Party Risk Control 0016,Third-Party Risk,Preventive,R. Gunawardena,Monthly,1,Effective,Needs Improvement,40,12,2026-01-15,2026-02-14,R04151,Low,Overdue
C0017,Security Awareness Control 0017,Security Awareness,Preventive,S. Jayasinghe,Semi-Annual,0,Effective,Not Tested,5,1,2025-07-10,2026-01-06,R02320,Medium,Overdue
C0018,Vulnerability Management Control 0018,Vulnerability Management,Detective,S. Jayasinghe,Quarterly,0,Effective,Effective,30,0,2026-01-31,2026-05-01,R02964,None,Overdue
C0019,Third-Party Risk Control 0019,Third-Party Risk,Corrective,A. Perera,Continuous,1,Effective,Not Tested,30,8,2025-04-27,2025-05-27,R04991,Medium,Overdue
C0020,Access Control Control 0020,Access Control,Detective,D. Senanayake,Monthly,1,Needs Improvement,Effective,10,0,2025-09-28,2025-10-28,R03518,None,Overdue
C0021,Business Continuity Control 0021,Business Continuity,Corrective,M. Wijesinghe,Continuous,0,Effective,Effective,40,0,2026-02-13,2026-03-15,R03218,None,Overdue
C0022,Data Protection Control 0022,Data Protection,Preventive,A. Perera,Quarterly,0,Ineffective,Effective,15,0,2026-08-23,2026-11-21,R02060,None,Scheduled
C0023,Change Management Control 0023,Change Management,Corrective,M. Wijesinghe,Monthly,1,Ineffective,Ineffective,25,10,2026-02-04,2026-03-06,R02236,Low,Overdue
C0024,Security Awareness Control 0024,Security Awareness,Preventive,T. Karunaratne,Quarterly,1,Effective,Needs Improvement,10,1,2025-05-17,2025-08-15,R03139,Medium,Overdue
C0025,Third-Party Risk Control 0025,Third-Party Risk,Detective,T. Karunaratne,Monthly,1,Effective,Needs Improvement,30,3,2025-09-20,2025-10-20,R03646,Medium,Overdue
C0026,Security Awareness Control 0026,Security Awareness,Detective,T. Karunaratne,Quarterly,0,Ineffective,Not Tested,30,6,2025-12-31,2026-03-31,R00115,High,Overdue
C0027,Incident Response Control 0027,Incident Response,Detective,D. Senanayake,Annual,0,Effective,Effective,40,0,2026-05-11,2027-05-11,R02980,None,Scheduled
C0028,Business Continuity Control 0028,Business Continuity,Preventive,S. Jayasinghe,Monthly,0,Effective,Effective,5,0,2025-10-25,2025-11-24,R00701,None,Overdue
C0029,Security Awareness Control 0029,Security Awareness,Detective,T. Karunaratne,Annual,1,Effective,Effective,15,0,2026-05-22,2027-05-22,R02686,None,Scheduled
C0030,Business Continuity Control 0030,Business Continuity,Preventive,T. Karunaratne,Annual,0,Ineffective,Needs Improvement,30,6,2025-07-07,2026-07-07,R04358,Low,Overdue
C0031,Access Control Control 0031,Access Control,Corrective,A. Perera,Semi-Annual,1,Effective,Needs Improvement,10,1,2025-07-21,2026-01-17,R04013,High,Overdue
C0032,Incident Response Control 0032,Incident Response,Preventive,M. Wijesinghe,Continuous,0,Needs Improvement,Not Tested,20,7,2026-03-22,2026-04-21,R00394,Low,Overdue
C0033,Security Awareness Control 0033,Security Awareness,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,10,0,2025-07-28,2025-10-26,R00274,None,Overdue
C0034,Data Protection Control 0034,Data Protection,Preventive,R. Gunawardena,Continuous,0,Effective,Effective,20,0,2025-03-26,2025-04-25,R01707,None,Overdue
C0035,Incident Response Control 0035,Incident Response,Detective,S. Jayasinghe,Annual,1,Effective,Effective,5,0,2025-12-15,2026-12-15,R01284,None,Scheduled
C0036,Third-Party Risk Control 0036,Third-Party Risk,Detective,M. Wijesinghe,Quarterly,0,Effective,Needs Improvement,40,5,2026-06-08,2026-09-06,R02592,Medium,Scheduled
C0037,Change Management Control 0037,Change Management,Corrective,D. Senanayake,Quarterly,1,Effective,Needs Improvement,15,6,2025-05-22,2025-08-20,R02216,High,Overdue
C0038,Change Management Control 0038,Change Management,Corrective,N. Silva,Continuous,1,Effective,Effective,25,0,2026-07-25,2026-08-24,R02494,None,Overdue
C0039,Vulnerability Management Control 0039,Vulnerability Management,Preventive,M. Wijesinghe,Quarterly,0,Effective,Effective,15,0,2025-08-18,2025-11-16,R02733,None,Overdue
C0040,Change Management Control 0040,Change Management,Detective,T. Karunaratne,Monthly,0,Needs Improvement,Effective,40,0,2026-02-18,2026-03-20,R00559,None,Overdue
C0041,Data Protection Control 0041,Data Protection,Detective,M. Wijesinghe,Annual,0,Needs Improvement,Effective,10,0,2026-01-19,2027-01-19,R00667,None,Scheduled
C0042,Data Protection Control 0042,Data Protection,Detective,A. Perera,Quarterly,1,Needs Improvement,Needs Improvement,25,7,2026-06-29,2026-09-27,R02667,Medium,Scheduled
C0043,Data Protection Control 0043,Data Protection,Detective,D. Senanayake,Quarterly,0,Effective,Effective,40,0,2026-01-27,2026-04-27,R04316,None,Overdue
C0044,Vulnerability Management Control 0044,Vulnerability Management,Preventive,D. Senanayake,Continuous,1,Effective,Effective,10,0,2025-03-21,2025-04-20,R03062,None,Overdue
C0045,Business Continuity Control 0045,Business Continuity,Detective,N. Silva,Quarterly,1,Effective,Needs Improvement,5,2,2025-08-15,2025-11-13,R04584,Medium,Overdue
C0046,Access Control Control 0046,Access Control,Preventive,R. Gunawardena,Semi-Annual,1,Effective,Effective,15,0,2026-05-27,2026-11-23,R01992,None,Scheduled
C0047,Security Awareness Control 0047,Security Awareness,Detective,T. Karunaratne,Continuous,1,Effective,Not Tested,20,6,2026-08-04,2026-09-03,R03678,Critical,Scheduled
C0048,Vulnerability Management Control 0048,Vulnerability Management,Detective,K. Fernando,Semi-Annual,0,Effective,Effective,5,0,2026-04-14,2026-10-11,R03484,None,Scheduled
C0049,Access Control Control 0049,Access Control,Detective,R. Gunawardena,Semi-Annual,1,Effective,Ineffective,10,3,2026-01-19,2026-07-18,R02911,Low,Overdue
C0050,Vulnerability Management Control 0050,Vulnerability Management,Detective,N. Silva,Continuous,1,Effective,Not Tested,10,3,2025-08-12,2025-09-11,R01690,High,Overdue
C0051,Third-Party Risk Control 0051,Third-Party Risk,Corrective,N. Silva,Quarterly,1,Effective,Effective,30,0,2026-05-25,2026-08-23,R01152,None,Overdue
C0052,Vulnerability Management Control 0052,Vulnerability Management,Detective,A. Perera,Quarterly,0,Effective,Effective,10,0,2026-08-21,2026-11-19,R04409,None,Scheduled
C0053,Business Continuity Control 0053,Business Continuity,Preventive,T. Karunaratne,Quarterly,0,Needs Improvement,Effective,40,0,2025-10-12,2026-01-10,R03006,None,Overdue
C0054,Data Protection Control 0054,Data Protection,Detective,T. Karunaratne,Monthly,0,Effective,Needs Improvement,40,6,2026-01-11,2026-02-10,R03849,High,Overdue
C0055,Data Protection Control 0055,Data Protection,Preventive,A. Perera,Continuous,0,Effective,Needs Improvement,40,5,2025-11-17,2025-12-17,R04455,Medium,Overdue
C0056,Business Continuity Control 0056,Business Continuity,Corrective,D. Senanayake,Semi-Annual,1,Effective,Needs Improvement,5,2,2026-02-17,2026-08-16,R03686,High,Overdue
C0057,Third-Party Risk Control 0057,Third-Party Risk,Preventive,R. Gunawardena,Continuous,1,Needs Improvement,Effective,40,0,2026-04-04,2026-05-04,R04952,None,Overdue
C0058,Business Continuity Control 0058,Business Continuity,Preventive,R. Gunawardena,Continuous,1,Effective,Ineffective,30,4,2026-02-17,2026-03-19,R04197,Medium,Overdue
C0059,Security Awareness Control 0059,Security Awareness,Preventive,K. Fernando,Monthly,0,Effective,Needs Improvement,20,4,2025-07-11,2025-08-10,R03714,Low,Overdue
C0060,Change Management Control 0060,Change Management,Preventive,R. Gunawardena,Monthly,1,Effective,Effective,5,0,2025-09-19,2025-10-19,R01370,None,Overdue
C0061,Change Management Control 0061,Change Management,Corrective,D. Senanayake,Continuous,0,Effective,Effective,25,0,2025-07-17,2025-08-16,R00796,None,Overdue
C0062,Third-Party Risk Control 0062,Third-Party Risk,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,30,0,2026-06-17,2026-09-15,R04071,None,Scheduled
C0063,Change Management Control 0063,Change Management,Preventive,K. Fernando,Monthly,0,Effective,Effective,25,0,2025-03-31,2025-04-30,R00686,None,Overdue
C0064,Data Protection Control 0064,Data Protection,Detective,D. Senanayake,Monthly,0,Effective,Effective,30,0,2025-08-23,2025-09-22,R02730,None,Overdue
C0065,Change Management Control 0065,Change Management,Detective,K. Fernando,Annual,1,Effective,Effective,30,0,2025-12-01,2026-12-01,R02717,None,Scheduled
C0066,Third-Party Risk Control 0066,Third-Party Risk,Corrective,D. Senanayake,Continuous,0,Effective,Needs Improvement,20,3,2026-08-22,2026-09-21,R01393,Low,Scheduled
C0067,Third-Party Risk Control 0067,Third-Party Risk,Detective,K. Fernando,Quarterly,1,Effective,Effective,20,0,2026-07-31,2026-10-29,R01878,None,Scheduled
C0068,Vulnerability Management Control 0068,Vulnerability Management,Detective,S. Jayasinghe,Annual,0,Needs Improvement,Not Tested,10,4,2025-11-01,2026-11-01,R02508,Low,Scheduled
C0069,Third-Party Risk Control 0069,Third-Party Risk,Detective,A. Perera,Continuous,0,Effective,Effective,10,0,2026-03-16,2026-04-15,R02332,None,Overdue
C0070,Access Control Control 0070,Access Control,Preventive,M. Wijesinghe,Quarterly,0,Effective,Needs Improvement,5,2,2026-03-27,2026-06-25,R03782,Medium,Overdue
C0071,Change Management Control 0071,Change Management,Detective,N. Silva,Monthly,0,Effective,Needs Improvement,25,6,2026-04-27,2026-05-27,R01505,High,Overdue
C0072,Data Protection Control 0072,Data Protection,Preventive,A. Perera,Semi-Annual,1,Effective,Not Tested,15,7,2026-03-24,2026-09-20,R00674,Medium,Scheduled
C0073,Security Awareness Control 0073,Security Awareness,Detective,A. Perera,Quarterly,1,Effective,Effective,40,0,2026-04-30,2026-07-29,R00539,None,Overdue
C0074,Security Awareness Control 0074,Security Awareness,Detective,M. Wijesinghe,Annual,0,Effective,Ineffective,20,4,2026-01-10,2027-01-10,R00019,Low,Scheduled
C0075,Access Control Control 0075,Access Control,Preventive,R. Gunawardena,Semi-Annual,1,Effective,Effective,15,0,2025-10-11,2026-04-09,R01524,None,Overdue
C0076,Business Continuity Control 0076,Business Continuity,Corrective,K. Fernando,Semi-Annual,1,Effective,Needs Improvement,5,1,2026-01-11,2026-07-10,R01356,Low,Overdue
C0077,Vulnerability Management Control 0077,Vulnerability Management,Preventive,K. Fernando,Quarterly,0,Ineffective,Needs Improvement,30,5,2026-02-15,2026-05-16,R04567,Medium,Overdue
C0078,Vulnerability Management Control 0078,Vulnerability Management,Corrective,N. Silva,Annual,1,Effective,Needs Improvement,30,5,2025-08-24,2026-08-24,R01373,Low,Overdue
C0079,Security Awareness Control 0079,Security Awareness,Preventive,T. Karunaratne,Monthly,0,Effective,Not Tested,20,5,2026-08-02,2026-09-01,R02064,Low,Scheduled
C0080,Data Protection Control 0080,Data Protection,Preventive,D. Senanayake,Annual,0,Effective,Not Tested,10,2,2026-04-29,2027-04-29,R03746,Low,Scheduled
C0081,Business Continuity Control 0081,Business Continuity,Detective,R. Gunawardena,Monthly,1,Effective,Needs Improvement,40,12,2025-11-15,2025-12-15,R01540,Medium,Overdue
C0082,Incident Response Control 0082,Incident Response,Preventive,D. Senanayake,Semi-Annual,0,Needs Improvement,Effective,25,0,2026-06-23,2026-12-20,R00104,None,Scheduled
C0083,Change Management Control 0083,Change Management,Preventive,D. Senanayake,Continuous,0,Effective,Needs Improvement,5,2,2026-05-01,2026-05-31,R00210,Medium,Overdue
C0084,Incident Response Control 0084,Incident Response,Preventive,K. Fernando,Quarterly,0,Needs Improvement,Not Tested,5,1,2025-03-31,2025-06-29,R04749,High,Overdue
C0085,Access Control Control 0085,Access Control,Detective,D. Senanayake,Continuous,0,Effective,Needs Improvement,30,3,2026-02-22,2026-03-24,R02788,Low,Overdue
C0086,Third-Party Risk Control 0086,Third-Party Risk,Corrective,A. Perera,Monthly,0,Ineffective,Effective,20,0,2026-03-06,2026-04-05,R02873,None,Overdue
C0087,Access Control Control 0087,Access Control,Detective,N. Silva,Continuous,1,Effective,Effective,15,0,2025-03-20,2025-04-19,R02090,None,Overdue
C0088,Third-Party Risk Control 0088,Third-Party Risk,Corrective,D. Senanayake,Monthly,1,Effective,Not Tested,15,1,2025-03-28,2025-04-27,R03889,Medium,Overdue
C0089,Data Protection Control 0089,Data Protection,Preventive,T. Karunaratne,Quarterly,0,Effective,Needs Improvement,10,3,2026-03-03,2026-06-01,R00222,Low,Overdue
C0090,Incident Response Control 0090,Incident Response,Preventive,D. Senanayake,Continuous,0,Effective,Effective,15,0,2025-12-25,2026-01-24,R01021,None,Overdue
C0091,Vulnerability Management Control 0091,Vulnerability Management,Detective,S. Jayasinghe,Quarterly,1,Effective,Needs Improvement,40,13,2026-07-19,2026-10-17,R04356,Medium,Scheduled
C0092,Data Protection Control 0092,Data Protection,Preventive,K. Fernando,Continuous,0,Effective,Needs Improvement,15,2,2026-08-04,2026-09-03,R00914,Low,Scheduled
C0093,Change Management Control 0093,Change Management,Preventive,M. Wijesinghe,Quarterly,1,Effective,Not Tested,15,1,2026-04-20,2026-07-19,R00113,Medium,Overdue
C0094,Vulnerability Management Control 0094,Vulnerability Management,Corrective,M. Wijesinghe,Quarterly,1,Effective,Effective,20,0,2026-08-09,2026-11-07,R02811,None,Scheduled
C0095,Change Management Control 0095,Change Management,Detective,R. Gunawardena,Semi-Annual,1,Effective,Not Tested,10,4,2026-08-24,2027-02-20,R01589,Critical,Scheduled
C0096,Vulnerability Management Control 0096,Vulnerability Management,Corrective,S. Jayasinghe,Semi-Annual,0,Ineffective,Ineffective,25,5,2025-12-23,2026-06-21,R00161,Low,Overdue
C0097,Third-Party Risk Control 0097,Third-Party Risk,Corrective,N. Silva,Continuous,0,Effective,Needs Improvement,20,5,2025-12-17,2026-01-16,R02137,Low,Overdue
C0098,Vulnerability Management Control 0098,Vulnerability Management,Preventive,R. Gunawardena,Semi-Annual,1,Effective,Effective,30,0,2025-07-08,2026-01-04,R03146,None,Overdue
C0099,Change Management Control 0099,Change Management,Preventive,D. Senanayake,Semi-Annual,0,Effective,Effective,30,0,2025-04-26,2025-10-23,R00889,None,Overdue
C0100,Third-Party Risk Control 0100,Third-Party Risk,Preventive,K. Fernando,Continuous,0,Effective,Needs Improvement,15,6,2025-06-21,2025-07-21,R01445,Medium,Overdue
C0101,Data Protection Control 0101,Data Protection,Preventive,R. Gunawardena,Quarterly,1,Effective,Not Tested,30,11,2025-03-22,2025-06-20,R02087,High,Overdue
C0102,Access Control Control 0102,Access Control,Preventive,A. Perera,Annual,0,Effective,Ineffective,10,1,2026-03-13,2027-03-13,R03607,High,Scheduled
C0103,Security Awareness Control 0103,Security Awareness,Preventive,A. Perera,Continuous,0,Effective,Effective,20,0,2026-08-11,2026-09-10,R03775,None,Scheduled
C0104,Data Protection Control 0104,Data Protection,Preventive,M. Wijesinghe,Monthly,1,Effective,Effective,40,0,2026-07-09,2026-08-08,R01082,None,Overdue
C0105,Vulnerability Management Control 0105,Vulnerability Management,Preventive,R. Gunawardena,Continuous,1,Effective,Ineffective,15,5,2025-07-05,2025-08-04,R00379,Medium,Overdue
C0106,Third-Party Risk Control 0106,Third-Party Risk,Detective,K. Fernando,Monthly,1,Needs Improvement,Ineffective,40,12,2026-05-02,2026-06-01,R04873,Medium,Overdue
C0107,Vulnerability Management Control 0107,Vulnerability Management,Preventive,N. Silva,Monthly,1,Needs Improvement,Effective,15,0,2026-06-20,2026-07-20,R01120,None,Overdue
C0108,Data Protection Control 0108,Data Protection,Detective,K. Fernando,Semi-Annual,0,Effective,Effective,15,0,2025-05-01,2025-10-28,R03012,None,Overdue
C0109,Business Continuity Control 0109,Business Continuity,Preventive,D. Senanayake,Quarterly,1,Effective,Needs Improvement,25,9,2025-10-26,2026-01-24,R01559,Medium,Overdue
C0110,Business Continuity Control 0110,Business Continuity,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,10,0,2025-04-02,2025-07-01,R01053,None,Overdue
C0111,Incident Response Control 0111,Incident Response,Preventive,N. Silva,Semi-Annual,0,Effective,Effective,20,0,2025-12-24,2026-06-22,R03064,None,Overdue
C0112,Access Control Control 0112,Access Control,Preventive,D. Senanayake,Quarterly,0,Effective,Effective,40,0,2026-05-12,2026-08-10,R01836,None,Overdue
C0113,Security Awareness Control 0113,Security Awareness,Preventive,A. Perera,Continuous,1,Effective,Effective,10,0,2025-08-12,2025-09-11,R01466,None,Overdue
C0114,Business Continuity Control 0114,Business Continuity,Preventive,M. Wijesinghe,Quarterly,1,Needs Improvement,Effective,5,0,2025-08-11,2025-11-09,R00737,None,Overdue
C0115,Incident Response Control 0115,Incident Response,Corrective,N. Silva,Semi-Annual,1,Effective,Needs Improvement,25,10,2025-07-12,2026-01-08,R01083,Low,Overdue
C0116,Data Protection Control 0116,Data Protection,Preventive,S. Jayasinghe,Quarterly,0,Needs Improvement,Effective,40,0,2025-06-04,2025-09-02,R02627,None,Overdue
C0117,Data Protection Control 0117,Data Protection,Preventive,D. Senanayake,Continuous,0,Effective,Ineffective,40,11,2026-01-15,2026-02-14,R01128,High,Overdue
C0118,Change Management Control 0118,Change Management,Detective,M. Wijesinghe,Quarterly,1,Effective,Needs Improvement,15,4,2025-05-26,2025-08-24,R01449,Low,Overdue
C0119,Security Awareness Control 0119,Security Awareness,Preventive,M. Wijesinghe,Monthly,0,Needs Improvement,Not Tested,5,1,2025-08-24,2025-09-23,R01217,Critical,Overdue
C0120,Business Continuity Control 0120,Business Continuity,Preventive,R. Gunawardena,Continuous,0,Effective,Effective,15,0,2025-12-29,2026-01-28,R00478,None,Overdue
C0121,Incident Response Control 0121,Incident Response,Detective,A. Perera,Semi-Annual,1,Effective,Ineffective,15,3,2026-03-18,2026-09-14,R04377,Medium,Scheduled
C0122,Change Management Control 0122,Change Management,Preventive,N. Silva,Annual,1,Ineffective,Effective,30,0,2026-08-24,2027-08-24,R03167,None,Scheduled
C0123,Incident Response Control 0123,Incident Response,Preventive,R. Gunawardena,Continuous,0,Effective,Needs Improvement,20,7,2025-05-07,2025-06-06,R04500,Medium,Overdue
C0124,Incident Response Control 0124,Incident Response,Preventive,T. Karunaratne,Quarterly,1,Effective,Needs Improvement,5,2,2025-05-14,2025-08-12,R04569,Medium,Overdue
C0125,Vulnerability Management Control 0125,Vulnerability Management,Preventive,S. Jayasinghe,Annual,0,Effective,Effective,5,0,2025-12-23,2026-12-23,R03263,None,Scheduled
C0126,Incident Response Control 0126,Incident Response,Preventive,T. Karunaratne,Quarterly,0,Needs Improvement,Effective,40,0,2025-04-22,2025-07-21,R02903,None,Overdue
C0127,Security Awareness Control 0127,Security Awareness,Detective,M. Wijesinghe,Annual,1,Effective,Effective,25,0,2025-09-26,2026-09-26,R00360,None,Scheduled
C0128,Third-Party Risk Control 0128,Third-Party Risk,Detective,T. Karunaratne,Continuous,0,Effective,Needs Improvement,5,2,2025-04-14,2025-05-14,R04856,Low,Overdue
C0129,Access Control Control 0129,Access Control,Detective,R. Gunawardena,Quarterly,0,Needs Improvement,Effective,15,0,2025-10-17,2026-01-15,R03395,None,Overdue
C0130,Vulnerability Management Control 0130,Vulnerability Management,Preventive,S. Jayasinghe,Semi-Annual,0,Effective,Needs Improvement,25,5,2025-08-21,2026-02-17,R00650,Medium,Overdue
C0131,Third-Party Risk Control 0131,Third-Party Risk,Detective,S. Jayasinghe,Annual,0,Needs Improvement,Not Tested,30,4,2026-04-29,2027-04-29,R00888,Low,Scheduled
C0132,Change Management Control 0132,Change Management,Preventive,D. Senanayake,Quarterly,1,Effective,Effective,10,0,2025-08-17,2025-11-15,R04503,None,Overdue
C0133,Third-Party Risk Control 0133,Third-Party Risk,Corrective,A. Perera,Annual,0,Effective,Effective,5,0,2026-03-11,2027-03-11,R00781,None,Scheduled
C0134,Business Continuity Control 0134,Business Continuity,Detective,D. Senanayake,Continuous,1,Effective,Needs Improvement,40,4,2025-12-28,2026-01-27,R04620,High,Overdue
C0135,Business Continuity Control 0135,Business Continuity,Preventive,R. Gunawardena,Semi-Annual,1,Effective,Effective,20,0,2025-05-14,2025-11-10,R02603,None,Overdue
C0136,Third-Party Risk Control 0136,Third-Party Risk,Preventive,K. Fernando,Quarterly,0,Effective,Effective,15,0,2025-09-15,2025-12-14,R04336,None,Overdue
C0137,Data Protection Control 0137,Data Protection,Detective,S. Jayasinghe,Semi-Annual,1,Effective,Ineffective,30,11,2025-05-18,2025-11-14,R02815,Medium,Overdue
C0138,Third-Party Risk Control 0138,Third-Party Risk,Preventive,M. Wijesinghe,Semi-Annual,0,Effective,Effective,20,0,2026-05-15,2026-11-11,R02813,None,Scheduled
C0139,Data Protection Control 0139,Data Protection,Preventive,T. Karunaratne,Monthly,1,Effective,Effective,20,0,2025-09-01,2025-10-01,R00686,None,Overdue
C0140,Data Protection Control 0140,Data Protection,Preventive,D. Senanayake,Monthly,1,Effective,Effective,15,0,2026-07-04,2026-08-03,R00533,None,Overdue
C0141,Business Continuity Control 0141,Business Continuity,Corrective,T. Karunaratne,Annual,1,Effective,Effective,20,0,2025-10-22,2026-10-22,R04486,None,Scheduled
C0142,Business Continuity Control 0142,Business Continuity,Corrective,M. Wijesinghe,Continuous,1,Effective,Effective,15,0,2025-05-16,2025-06-15,R00377,None,Overdue
C0143,Change Management Control 0143,Change Management,Preventive,K. Fernando,Quarterly,1,Effective,Effective,5,0,2026-06-20,2026-09-18,R03568,None,Scheduled
C0144,Security Awareness Control 0144,Security Awareness,Preventive,T. Karunaratne,Annual,1,Effective,Effective,40,0,2025-09-14,2026-09-14,R03425,None,Scheduled
C0145,Data Protection Control 0145,Data Protection,Preventive,D. Senanayake,Quarterly,1,Effective,Not Tested,30,4,2025-04-25,2025-07-24,R02711,High,Overdue
C0146,Data Protection Control 0146,Data Protection,Preventive,N. Silva,Continuous,1,Effective,Effective,15,0,2025-05-14,2025-06-13,R00689,None,Overdue
C0147,Business Continuity Control 0147,Business Continuity,Corrective,D. Senanayake,Annual,0,Needs Improvement,Needs Improvement,40,15,2026-08-14,2027-08-14,R03029,Medium,Scheduled
C0148,Business Continuity Control 0148,Business Continuity,Preventive,D. Senanayake,Quarterly,0,Effective,Needs Improvement,20,7,2026-06-28,2026-09-26,R04161,High,Scheduled
C0149,Third-Party Risk Control 0149,Third-Party Risk,Detective,K. Fernando,Continuous,1,Effective,Needs Improvement,40,8,2026-03-17,2026-04-16,R02893,Medium,Overdue
C0150,Business Continuity Control 0150,Business Continuity,Corrective,N. Silva,Quarterly,1,Effective,Effective,15,0,2025-12-03,2026-03-03,R00672,None,Overdue
C0151,Security Awareness Control 0151,Security Awareness,Preventive,D. Senanayake,Quarterly,0,Needs Improvement,Effective,15,0,2026-04-01,2026-06-30,R04023,None,Overdue
C0152,Vulnerability Management Control 0152,Vulnerability Management,Corrective,R. Gunawardena,Continuous,1,Effective,Ineffective,30,8,2025-12-31,2026-01-30,R03879,Medium,Overdue
C0153,Change Management Control 0153,Change Management,Detective,N. Silva,Annual,0,Effective,Not Tested,30,6,2025-03-12,2026-03-12,R03366,Medium,Overdue
C0154,Security Awareness Control 0154,Security Awareness,Detective,T. Karunaratne,Quarterly,1,Effective,Effective,15,0,2025-04-15,2025-07-14,R02571,None,Overdue
C0155,Security Awareness Control 0155,Security Awareness,Detective,M. Wijesinghe,Annual,1,Effective,Effective,25,0,2026-01-15,2027-01-15,R01979,None,Scheduled
C0156,Incident Response Control 0156,Incident Response,Detective,M. Wijesinghe,Annual,1,Effective,Effective,25,0,2026-05-13,2027-05-13,R00871,None,Scheduled
C0157,Business Continuity Control 0157,Business Continuity,Preventive,D. Senanayake,Semi-Annual,1,Effective,Effective,10,0,2025-06-29,2025-12-26,R00190,None,Overdue
C0158,Access Control Control 0158,Access Control,Corrective,T. Karunaratne,Continuous,1,Effective,Effective,20,0,2025-07-07,2025-08-06,R03294,None,Overdue
C0159,Third-Party Risk Control 0159,Third-Party Risk,Detective,T. Karunaratne,Monthly,0,Needs Improvement,Effective,15,0,2026-07-14,2026-08-13,R02100,None,Overdue
C0160,Vulnerability Management Control 0160,Vulnerability Management,Preventive,A. Perera,Semi-Annual,1,Effective,Effective,40,0,2025-05-26,2025-11-22,R01158,None,Overdue
C0161,Data Protection Control 0161,Data Protection,Detective,D. Senanayake,Semi-Annual,0,Ineffective,Not Tested,25,8,2025-10-27,2026-04-25,R02173,Low,Overdue
C0162,Incident Response Control 0162,Incident Response,Preventive,S. Jayasinghe,Monthly,1,Effective,Ineffective,10,1,2026-05-04,2026-06-03,R01279,Low,Overdue
C0163,Business Continuity Control 0163,Business Continuity,Preventive,D. Senanayake,Continuous,0,Needs Improvement,Needs Improvement,40,12,2026-05-30,2026-06-29,R00973,Medium,Overdue
C0164,Business Continuity Control 0164,Business Continuity,Preventive,A. Perera,Semi-Annual,0,Effective,Effective,5,0,2026-07-14,2027-01-10,R01021,None,Scheduled
C0165,Access Control Control 0165,Access Control,Preventive,R. Gunawardena,Quarterly,0,Effective,Effective,5,0,2025-03-20,2025-06-18,R04108,None,Overdue
C0166,Third-Party Risk Control 0166,Third-Party Risk,Preventive,S. Jayasinghe,Continuous,1,Effective,Effective,30,0,2025-05-24,2025-06-23,R02057,None,Overdue
